date,count
2017-08-05,38
2017-08-06,15
2017-08-07,18
2017-08-08,17
2017-08-09,7
2017-08-10,10
2017-08-11,8
2017-08-12,2
2017-08-13,3
2017-08-14,8
2017-08-15,7
2017-08-16,24
2017-08-17,16
2017-08-18,2
2017-08-19,17
2017-08-20,62
2017-08-21,8
2017-08-22,13
2017-08-23,8
2017-08-24,16
2017-08-25,9
2017-08-26,18
2017-08-27,3
2017-08-28,4
2017-08-29,3
2017-08-30,18
2017-08-31,22
2017-09-01,9
2017-09-02,5
2017-09-03,4
2017-09-05,8
2017-09-06,11
2017-09-07,30
2017-09-08,5
2017-09-09,24
2017-09-10,43
2017-09-11,13
2017-09-12,23
2017-09-13,9
2017-09-14,12
2017-09-15,5
2017-09-16,14
2017-09-17,6
2017-09-18,11
2017-09-19,17
2017-09-20,19
2017-09-21,10
2017-09-22,10
2017-09-23,27
2017-09-24,123
2017-09-25,16
2017-09-26,14
2017-09-27,14
2017-09-28,15
2017-09-29,10
2017-09-30,3
2017-10-01,15
2017-10-02,16
2017-10-03,10
2017-10-04,13
2017-10-05,8
2017-10-06,16
2017-10-07,3
2017-10-08,2
2017-10-09,1
2017-10-10,10
2017-10-11,15
2017-10-12,19
2017-10-13,8
2017-10-14,6
2017-10-15,9
2017-10-16,14
2017-10-17,11
2017-10-18,16
2017-10-19,14
2017-10-20,10
2017-10-21,2
2017-10-22,20
2017-10-23,14
2017-10-24,10
2017-10-25,19
2017-10-26,10
2017-10-27,11
2017-10-28,10
2017-10-29,7
2017-10-30,17
2017-10-31,21
2017-11-01,16
2017-11-02,15
2017-11-03,14
2017-11-04,4
2017-11-05,2
2017-11-06,22
2017-11-07,20
2017-11-08,16
2017-11-09,10
2017-11-10,11
2017-11-11,3
2017-11-12,5
2017-11-13,5
2017-11-14,11
2017-11-15,12
2017-11-16,5
2017-11-17,7
2017-11-18,26
2017-11-19,6
2017-11-20,6
2017-11-21,10
2017-11-22,13
2017-11-23,11
2017-11-24,8
2017-11-25,2
2017-11-26,7
2017-11-27,16
2017-11-28,9
2017-11-29,8
2017-11-30,12
2017-12-01,3
2017-12-02,11
2017-12-03,3
2017-12-04,4
2017-12-05,6
2017-12-06,6
2017-12-07,7
2017-12-08,3
2017-12-09,4
2017-12-10,5
2017-12-11,20
2017-12-12,44
2017-12-13,707
2017-12-14,2485
